epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,3862.48,0.9967,1.23126,0.98554,1.00895,0.70761,0.77885,0.76684,0.523,0.66427,0.68492,0.73405,0.41325,1.05144,1.46696,1.17719,1.05513,0.000713,0.000713,0.000713
67,3931.78,0.9674,1.23022,0.94041,0.99771,0.75888,0.7566,0.80048,0.56613,0.67961,0.76923,0.77662,0.45395,1.04663,1.38226,1.0711,1.06371,0.0006932,0.0006932,0.0006932
68,3998.33,0.97293,1.20215,0.96943,0.98761,0.70169,0.85948,0.7986,0.55302,0.67708,0.8266,0.76837,0.44986,1.09593,1.32832,1.06915,1.07617,0.0006734,0.0006734,0.0006734
69,4069.85,0.95717,1.1997,0.9175,0.99286,0.66737,0.78846,0.7711,0.53837,0.68094,0.73077,0.75211,0.4429,1.11144,1.32985,1.09633,1.06986,0.0006536,0.0006536,0.0006536
70,4146.92,0.98337,1.19127,0.90379,0.9761,0.66776,0.77303,0.74708,0.50868,0.64577,0.74038,0.70859,0.39774,1.10241,1.33894,1.18444,1.06842,0.0006338,0.0006338,0.0006338
71,4213.8,1.00399,1.23005,0.96345,0.99488,0.68265,0.78598,0.74603,0.51738,0.66616,0.76749,0.70397,0.40141,1.0505,1.32027,1.1893,1.06543,0.000614,0.000614,0.000614
72,4262.88,0.99522,1.14423,0.9575,0.98518,0.70827,0.76923,0.78122,0.54172,0.66403,0.75,0.72937,0.42958,1.0564,1.33113,1.08544,1.04737,0.0005942,0.0005942,0.0005942
73,4311.83,0.93282,1.08861,0.9294,0.9818,0.7268,0.76741,0.7842,0.54123,0.67555,0.75,0.73568,0.42569,1.03227,1.34305,1.0532,1.0333,0.0005744,0.0005744,0.0005744
74,4360.55,0.9496,1.16161,0.96997,0.99683,0.69935,0.76923,0.75449,0.53605,0.68059,0.77857,0.72988,0.41624,1.03285,1.33003,1.07543,1.02551,0.0005546,0.0005546,0.0005546
75,4409.07,0.99066,1.21438,0.9884,0.99836,0.64931,0.80116,0.70436,0.48816,0.63373,0.78193,0.67669,0.37925,1.06125,1.30584,1.16668,1.04643,0.0005348,0.0005348,0.0005348
76,4457.52,1.01272,1.21033,0.95925,1.01088,0.62298,0.73077,0.67768,0.46471,0.64832,0.67358,0.65604,0.38911,1.0561,1.31333,1.23608,1.05356,0.000515,0.000515,0.000515
77,4506.66,0.91859,1.13238,0.92628,0.96856,0.66334,0.71154,0.70644,0.49226,0.63489,0.69231,0.68584,0.4188,1.0635,1.31292,1.18731,1.0465,0.0004952,0.0004952,0.0004952
78,4561.78,0.99292,1.22333,0.92114,0.98277,0.67063,0.66346,0.71474,0.51321,0.66091,0.65385,0.70215,0.41492,1.03638,1.29159,1.17306,1.04707,0.0004754,0.0004754,0.0004754
79,4618.33,0.90086,1.18583,0.88368,0.97151,0.6494,0.73022,0.71611,0.51762,0.6316,0.71154,0.69852,0.41764,1.01003,1.28563,1.15227,1.03953,0.0004556,0.0004556,0.0004556
80,4670.72,0.90603,1.13704,0.93586,0.98275,0.73547,0.74856,0.78263,0.56995,0.69335,0.7827,0.76505,0.4626,0.97712,1.29751,1.05581,1.0269,0.0004358,0.0004358,0.0004358
